"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Cobb, Alex","502171","95.3","94.8",,"85.1",,"83.8","89.6",,,
"Carrasco, Carlos","471911","93.2","91.9",,"84.8","87.4","81.1",,,,
"Ryan, Joe","657746","92",,,"82.3","84.8","74.9","83.7",,"80.1",
"Brubaker, JT","664141","92.7","93.1",,"86.7","87.2","80",,,,
"Singer, Brady","663903","92.6","93.8",,"85.5","86.9",,,,,
"Kuhl, Chad","641771","92.9","92.8",,"86.5","87.9","79.5",,,,
"Cueto, Johnny","456501","91.4","91.4","86.9","83.5","82.6","69.9",,,,
"Wheeler, Zack","554430","95.9","95.4","90.6",,"89.5","81.3",,,,
"Snell, Blake","605483","95.8",,,"88.9","87.1","81.4",,,,
"Montas, Frankie","593423","96.1","95.6","89.5","87.2",,,"86.4",,,
"Davies, Zach","605200","89.9","89.5","87.6","75.9","79.7","74.8",,,"78.1",
"Strider, Spencer","675911","98.2",,,"86.3","88.9",,,,,
"Keller, Brad","641745","94.5","93.4",,"86.9","90.3","87.8",,,,
"Greinke, Zack","425844","89.2","89.4","85.8","81.8","86.5","72",,,,
"Bubic, Kris","663460","91.9",,,,"80.7","79.4",,,,
"Hudson, Dakota","641712","91.3","91.9",,"87.8","86.5","80.5",,,,
"Wood, Alex","622072",,"92.4",,"84.5","85.7",,,,,
"Rasmussen, Drew","656876","95.5","94.9","90.3","85.4",,"79.6",,,"84.6",
"Kaprielian, James","621076","94","94.4",,"85","85.2","79.3",,,,
"Otto, Glenn","657248","92.1","92.2",,,"88.1","81.2",,,"81.1",
"Flexen, Chris","623167","91.7","92.6","87.4","81.1","81.1","74.6",,,"80.2",
"Greene, Hunter","668881","98.9",,,"88.1","90.1",,,,,
"Stroman, Marcus","573186","92.6","92","90","86.4",,,"87",,,"84.6"
"Detmers, Reid","672282","93.2","93.7",,"86.3","84.2","73.1",,,"80.2",
"Bundy, Dylan","605164","89","89.7",,"79.1","81.1","72.2",,,,
"Scherzer, Max","453286","94",,"89.2","85","84.1","75",,,,
"Plesac, Zach","668676","91.9","89.4",,"85.4","85.7","79.3",,,,
"Springs, Jeffrey","605488","91.4","90.1",,"85.4","81.1",,,,,
"Mahle, Tyler","641816","93.2",,"85.5","83.9",,,"85.4",,,
"Kirby, George","669923","95.3","94.7","88.3","85.5","86","80.8",,,,
"Thompson, Zach","605507","92.3","92.2","86.8",,"85.7","76.6",,,,
"Gray, Jon","592351","95.9",,,"85.8","88.7","77.8",,,"84.9",
"Gomber, Austin","596295","91","91.5",,"84.3","82","75.8",,,,
"Stripling, Ross","548389","91.9","89.9",,"87.1","82.6","76.1",,,,
"Steele, Justin","657006","92.2","91.7",,"82","87.8","78.4",,,,
"Lynn, Lance","458681","92.9","91.4","88.8","86","85.8","82",,,,
"Syndergaard, Noah","592789","94.1","93.6","85.8","85.2","88.5","77.8","88.7",,,
"Gonsolin, Tony","664062","93.1",,,"87.5",,"80.7","83.5",,,
"Kopech, Michael","656629","94.9",,,"84.4","85.2","79",,,,
"Anderson, Ian","666120","94",,,,"88.2","81.7",,,,
"Bradish, Kyle","680694","94.6","95.3",,"86.9","89.9","83.2",,,,
"Hill, Rich","448179","88.5","87.3","84.2",,"82.8","71.8",,,"69.2",
"Wacha, Michael","608379","93","92.6","88.8",,"84.3","74.7",,,,
"Kremer, Dean","665152","93.5","91.7","88",,"83.7","76.5",,,,
"Rogers, Trevor","669432","94.6","93.7",,"80.7","85.7",,,,,
"Clevinger, Mike","605182","93.6","93.2","86.6","79.9","86.3","76.8",,,,
"Skubal, Tarik","669373","94.1","94.8",,"89.3","83.6","76.9",,,,
"Peterson, David","656849","93.7","93.3",,"84.4","85.9","78.5",,,,
"Thompson, Keegan","624522","93.5","92.8","89.8",,"86.1","81.3",,,"83.9",
"Ashby, Aaron","676879","95.5","95.7",,"83.5","89.1","79.7",,,,
"Espino, Paolo","502179","88.5",,,"80.7","83.6","71.3",,,"77.7",
"Gray, Sonny","543243","92.1","92","88.8","83.2","87.1","78.7",,,"81.6",
"Houser, Adrian","605288","94.3","93.8",,"85","85.4","81.1",,,,
"Kikuchi, Yusei","579328","94.9",,"91.1","86.6","87","85.2",,,,
"Kershaw, Clayton","477132","90.7","90.8",,"86.6","83.8","73.2",,,,
"Wilson, Bryse","669060","92.7","92.1","86","82.5","86.1","77.5","83.3",,,
"Junis, Jakob","596001","91.4","91.9","85.6","83.1","84.8",,,,,
"Odorizzi, Jake","543606","92.1",,"87.6","82.6",,"71.9","85.1",,,
"Heasley, Jonathan","669169","93.4","92.9",,"85.6","84.9","78.5",,,,
"Archer, Chris","502042","93",,,"88.7","87","81.7",,,,
"Hearn, Taylor","621368","94.8","93.8","88.7","84.9","87.6",,,,,
"Suarez, José","660761","92.7","91.7",,"81.8","82.4","77.9",,,"79.5",
"Blackburn, Paul","621112","91.5","91.7","87.1","79","86","78.8",,,,
"Voth, Austin","608723","93.5",,"89.5",,"87.1","77.5",,,"83.7",
"Hutchison, Drew","571800","92.4","92.7",,"86","86.5",,,,,
"Ashcraft, Graham","668933",,"97.2","97.3","85.8","89.8",,,,,
"Pallante, Andre","669467","95.2","94.8",,"86.9","83.1","76.5",,,,
"Minor, Mike","501985","90.4","89.9",,"85.4","84.2","79.2",,,,
"Eovaldi, Nathan","543135","95.7",,"90.6","85.9",,"78.3","87.8",,,
"Smyly, Drew","592767",,"92.6","88.6",,"82.6","78.7",,,,
"Martinez, Nick","607259","93.4","93.3","88.6",,"79.7","81.7",,,,
"White, Mitch","669952","93.7","94.2",,"86.8","87.2","80.2",,,"85.4",
"Sampson, Adrian","592716","92.5","91.9","84.9","83.1","85.1",,,,,
"Lodolo, Nick","666157","94.4","94.1",,,"88.3","81.5",,,,
"Feltner, Ryan","663372","94.5","93.5",,"84.6","83.8","77.9",,,"82.1",
"Lorenzen, Michael","547179","94.7","93.8","90.5","84.7","85.7","81.3",,,"83",
"Wells, Tyler","669330","93.5",,"87.5",,"86.7","76.3",,,"79.5",
"Luzardo, Jesús","666200","96.3","95.7",,"83.7","87.2",,,,,
"Watkins, Spenser","657093","91.4","90.9","87.1","78.3","86","76.8",,,"78.4",
"Ureña, José","570632","95.9","95.6",,"86.8","90.2",,,,,
"Severino, Luis","622663","96.3","95.9","90.3","85.1","88.8",,,,,
"Alexander, Tyler","641302","90","90.1","85.5","80.8","82.8",,,,"77.4",
"Civale, Aaron","650644","90.7","91.3","86.4","81.6",,"75.9","85.5",,"79",
"Contreras, Roansy","672710","95.6",,,"83.8","89.7","78.9",,,,
"Senzatela, Antonio","622608","94.2","92.6",,"86.2","86.9","78.2",,,,
"Rodriguez, Eduardo","593958","91.7","91.7","88.7","82.8","85.5",,,,,
"Garrett, Braxton","666129","91.4","90.9","84.8","84","85.9","78.7",,,,
"Williams, Trevor","592866","91.2","89",,"83.2","84.4","78.6",,,,
"Crowe, Wil","640444","95.1","94.4",,"87.6","85.9","81.6",,,"87.1",
"Yarbrough, Ryan","642232","86.7","87.1","82.3",,"78.6","71.3",,,,
"Peralta, Freddy","642547","92.6",,,"80.3","85.9","75.8",,,,
"Hendricks, Kyle","543294","86.9","86.5",,,"79.9","72.7",,,,
"Burke, Brock","656271","95","93.4",,"87.2","88.1",,,,,
"Crawford, Kutter","676710","94.6",,"88.7","85.1","86.8","79.7","86.1",,,
"Falter, Bailey","663559","91.4","91",,"83.5","83.1","76.6",,,,
"Oller, Adam","670124","93.3","93.6","89.5","84.2","86.5","80.4",,,,"81.2"
"Brieske, Beau","689225","94.3","93.6",,"86.2","82","78.1",,,,
"Velasquez, Vince","592826","93.2","91.9",,"84.7","88.2","81.5",,,,
"Scott, Tanner","656945","96.9",,,"89.2",,,,,,
"Gore, MacKenzie","669022","94.7",,,"87.4","84.8","80.8",,,,
"Moore, Matt","519043","93.9",,,,"85","83.6",,,,
"Akin, Keegan","669211","93.5",,,"85.3","84.1","75.1",,,,
"Cessa, Luis","570666","93.3","93.6",,"82.9","87.8",,,,,
"Smith, Caleb","592761","91.9",,,"85.4","83.6","78.9",,,,
"Sánchez, Aníbal","434671","89.8","89.1","87.2","83","79.9","75.4",,,,
"Heaney, Andrew","571760","93",,,"83.4","85",,,,,
"Ramírez, Erasmo","541640","93.7","93.1","89.2",,"85.4","80.6",,,,
"Cabrera, Edward","665795","96","95.8",,"86.9","92.4","83.8",,,,
"Coleman, Dylan","669395","97.5","98",,"85.9",,,,,"82.1",
"Adon, Joan","672851","95","94.9",,"86.2","87.4","79.7",,,,
"Nelson, Nick","656793","96.3","91.4",,"89.9","87.9","81.9",,,,
"Chavez, Jesse","445926","90.5","91.3","89.1",,"85.5","76.9",,,,
"Barlow, Scott","605130","93.6","92.7",,"84.1",,"78.6",,,,
"Winckowski, Josh","670174","93.7","94.1","88.5","84.8","90.6",,,,,
"Eflin, Zach","621107","93.1","92.7","90","85.5","87","78.3",,,,
"Baker, Bryan","641329","96.2",,,"87.3","84",,,,,
"Cishek, Steve","518553","89.3","89.8",,"76.5","83.1",,,,,
"De Jong, Chase","608328","92.8","93.4",,"83.6","86.2","77.7","88.6",,,
"Diekman, Jake","518617","95.6","95.3",,,"86.4",,,,"81.4",
"Rogers, Tyler","643511","83.6","83.2",,"72.1",,,,,,
"Whitlock, Garrett","676477","95.1","95.3",,"83.4","84.6",,,,"81.2",
"Keuchel, Dallas","572971","87.9","87.2","85.2","77","79.2",,,,,
"Richards, Trevor","670950","93.4",,,,"84.1","85.1",,,,
"López, Jorge","605347","97.3","97.7",,"87.4","90","84.1",,,,
"Alexander, Jason","669920","93.1","92.4",,"81.2","81.5",,,,,
"Jax, Griffin","643377","95.4",,,,"89.8","82.6",,,"86.4",
"Phelps, David","475479","93.2","93.2","89.8",,"86.5","81.7",,,,
"Wick, Rowan","592858","94.9","91.7","93.1","82.2","82.9","76.8",,,,
"Smeltzer, Devin","656970","89.5","88.6","84.8",,"82.2","75.2",,,"77",
"Zimmermann, Bruce","669145","90.6","90.5",,"85.1","84.7","81.1",,,,
"Pagán, Emilio","641941","95.6",,"85.8","84.6",,"80.2","88.4",,,
"Barria, Jaime","642545","92.1","91.7",,"85.3","85",,,,,
"Doval, Camilo","666808",,"98.4","99.4","87.7",,,,,,
"Davis, Austin","656354","94.1","93.3",,,"86.3","79.5",,,"80.5",
"Ruiz, José","614179","96.9","96",,,"89.9","86.3",,,,
"Winder, Josh","680739","94",,,"84.3","88.9","81",,,,
"Minter, A.J.","621345","96.6",,"90.3",,"87.6",,,,,
"Soto, Gregory","642397","98.7","98.2",,"89.3","91.8",,,,,
"Stratton, Chris","608717","92.8","92.9",,"86.7","86.8","80.8",,,,
"Hernández, Elieser","622694","91.6","92",,"80.1","84.6",,,,,
"Montero, Rafael","606160","96.4","95.9",,"87.9","91.1",,,,,
"Brebbia, John","605154","94.4",,,"84",,,,,,
"Boxberger, Brad","502202","92.7",,,"87.3","81.2",,,,,
"Milner, Hoby","571948","89.3","88.9",,,"81.3",,,,"79.5",
"Maton, Phil","664208","91","90.2","82.4",,"84.2","74.5",,,"80.9",
"McHugh, Collin","543521","91",,"88.9",,,"72.5",,,"80.2",
"Leiter Jr., Mark","643410","91.1","90.9","87.4","79.4",,"73.2","84.2",,,
"Rogers, Taylor","573124","93.6","94.3",,,,,,,"80.9",
"Vest, Will","676684","95.1","94.2",,"86.4","86.8",,,,,
"Strickland, Hunter","519326","95","94.4","87.8","84.8","89.6",,,,,
"Germán, Domingo","593334","92.7","92.7",,,"85.9","81",,,,
"Lugo, Seth","607625","94.4","94.4",,"88.9","87.6","79.8",,,,
"Sears, JP","676664","93.2",,,,"82.7","79.2",,,"77.4",
"Tate, Dillon","622253",,"94",,"94.4","83.9",,,,"80.3",
"Kimbrel, Craig","518886","95.8",,,,,"85.7",,,,
"Puk, A.J.","640462","96.7","96.3",,"86.9","87.8",,,,"86.8",
"Beede, Tyler","595881","95.8","95.6",,"88","84.8","79.1",,,,
"Suter, Brent","608718","86.4","87.4",,"78.8","77.2",,,,,
"Williams, Devin","642207","93.9",,"89.7","86.4","83.4",,,,,
"Crismatt, Nabil","622503","90.5","90",,"84.7","82.7","73.2",,,,
"Ottavino, Adam","493603","94.7","94.2","87.8","77.7","89.1",,,,"81",
"Díaz, Alexis","664747","95.7",,,"86.9",,"81.4",,,,
"Robertson, David","502085",,,"93","83.9",,"84.8",,,,
"Finnegan, Kyle","640448","97",,,"89",,,"88.7",,,
"Hicks, Jordan","663855","100.1","99.4",,"89.1","92",,"92",,"84.7",
"Armstrong, Shawn","542888","95.3","95.6","92.3","86.1",,,,,,
"Lange, Alex","656638","95.7","96.2",,,"89.7","85.5",,,,
"Buehler, Walker","621111","95.2","95","91.5","83.6","90.5","79.2",,,,
"Cimber, Adam","643256","86.5","86.5",,"77.8",,,,,,
"Fulmer, Michael","605242","94.2","94.5","90.3",,"86.5","78.9",,,,
"Martin, Davis","663436","94",,,"84.3","85.9","79.7",,,,
"Pilkington, Konnor","663455","92.1","93.3",,"81.9","84.4","77",,,,
"García, Yimi","554340","94.9","93.8",,"89.5","87.2","82.5",,,,
"Hernández, Carlos","672578","96.8","95.4",,"85.8",,"82.1","85",,,
"Graveman, Kendall","608665","96.6","96.4",,"88.7","90.7","83.3",,,,
"Sanmartin, Reiver","665665","90.9","90.4",,"82","85.2",,,,,
"Stephan, Trevor","663986","96.5",,,"85.9",,,"87.9",,,
"Muñoz, Andrés","662253","100.2","101.5",,"88.6",,,,,,
"Duran, Jhoan","661395","100.8",,,"89.7",,"87.8","96.4",,,
"Logue, Zach","656657","90.1","87.8","85.9",,"82","77.5",,,,
"Givens, Mychal","571710","93.4",,,"84.7","82.1",,,,,
"Estévez, Carlos","608032","97.5",,,"87.3","88.4","83.9",,,,
"Schreiber, John","670167","94.4","93.4",,,"88.5",,,,"82.1",
"Abreu, Bryan","650556","97.2","96",,"88.4","89.7","84.5",,,,
"Hill, Garrett","682051","92","91.7",,"82.6","82.2","77.2",,,,
"Morgan, Eli","669212","92.1",,"89.3","85.7","75.9","80.5",,,,
"García, Jarlín","606424","93.8",,,"82.7","85.2",,,,,
"Martínez, Adrián","661309",,"93.8",,"82","84",,,,,
"Edwards Jr., Carl","605218","94.6","95",,,"90.7","80.2",,,,
"Neris, Héctor","593576","94.3","94.5",,"87.6",,,"85.1",,,
"Norris, Daniel","596057","91.2","90.9",,"81","86.7","76.1",,,"79.9",
"Jansen, Kenley","445276",,"93.6","92.2","81.2",,,,,,
"Sanchez, Aaron","592717","92.4","92.1",,,"87.8","79.1",,,,
"Acevedo, Domingo","642758","93","92.2",,"86.5","86.8",,,,,
"Underwood Jr., Duane","621249","95.9","95.3","92.4",,"89.6","82.7",,,,
"Murfee, Penn","682171","89","88.8",,,,,,,"79.7",
"Beeks, Jalen","656222","95",,"87","81.9","90.3",,,,,
"Machado, Andrés","600921","95.6","95",,"87.1","88.9",,,,,
"Bello, Brayan","678394","97","96.3",,"85","88.2","80.2",,,,
"Thielbar, Caleb","573204","92.8",,,,"82.7","73",,,"81.3",
"Bautista, Félix","642585","99.2",,,"85.2",,,"88.4",,,
"Herget, Jimmy","623474","92.1","90.4",,"83.2","84.3","74.8",,,,
"Santana, Dennis","642701","97.7","96.7",,"85.8","89.9",,,,,
"Manning, Matt","666159","93.2","92.9",,"82.9","86.1","79.7",,,"83.8",
"Bickford, Phil","641360","94.1",,,"83.3","88.7",,,,,
"Romano, Jordan","605447","96.9","96.5",,"87.3",,,,,,
"Gallegos, Giovanny","606149","94.3",,,"85.5","87.1",,,,,
"Bass, Anthony","542914","95","95.4",,"86.6",,,"86.8",,,
"Smith, Will","519293","92.1","91.2",,"81.7","86.9","76.9",,,,
"Brasier, Ryan","518489","95.9","96.1",,"85.5","88.1",,,,,
"López, Reynaldo","625643","97.1",,,"87.4","85.9","80.4",,,,
"Oviedo, Johan","670912","96",,,"85.7","88.8","78.4",,,,
"Iglesias, Raisel","628452","95","94.8",,"84.1","88.7",,,,,
"Krehbiel, Joey","607216","94.4",,"86.3","79.8","84.3",,,,,
"Holmes, Clay","605280","98","97",,"88.3",,,,,"84.9",
"Poche, Colin","621363","93.2",,,"82.1",,"78.7",,,,
"Sewald, Paul","623149","92.5",,,,,,,,"82.8",
"Luetge, Lucas","476595","87.5",,"87.6","78.3",,"73.5",,,"77.4",
"Shaw, Bryan","543766",,"92.9","92.9","84.3","81.8","82.7","88.6",,,
"Okert, Steven","595345","93.7",,,"82",,,,,,
"Loup, Aaron","571901","91.7","91.2","84.7",,"80.3","76",,,,
"Faedo, Alex","656412","92.7",,,"85","86.2",,,,,
"García, Luis","472610","97.6","98.7",,"84.6",,,"88.8",,"82.4",
"Bellatti, Andrew","571479","94.4",,,"85.9","89.5",,,,,
"Helsley, Ryan","664854","99.6",,,"89.2","89.7","80.8",,,,
"Foley, Jason","671345","96.1","96.3",,"86.5","89.5",,,,"83.2",
"Trivino, Lou","642152","95.6","95.8","92.3","81.9","87.4","76.8",,,,
"Bard, Daniel","453268","97.9","98",,"88.4","90.2",,,,,"79.8"
"Payamps, Joel","606303","94.8","94.3",,"82.2","88.9",,,,,
"Hughes, Brandon","676714","93.2","93.2",,"82.9","85.3",,,,,
"Vesia, Alex","681911","94.1",,,"85","85.6",,,,,
"Hendriks, Liam","521230","97.6",,,"89",,"85.8",,,,
"Hentges, Sam","656529","95.7","95.7",,"88",,"81.3",,,,
"Stephens, Jackson","623451","94.1","94",,"86.9","85.9","76.8",,,,
"Hader, Josh","623352",,"97.4",,"84","88.6",,,,,
"Adam, Jason","592094","94.8",,,,"90",,,,"81.3",
"deGrom, Jacob","594798","98.9",,,"92.6","92","83.4",,,,
"Jiménez, Joe","641729","95.7",,,"84.8","90.7",,,,,
"Brash, Matt","666374","96.9",,,"86.8","85.5","84.6",,,,
"Schmidt, Clarke","657376","94.7","94.9",,,"89.6","83.5",,,"86.4",
"Díaz, Edwin","621242","99.1",,,"90.8",,,,,,
"Kuhnel, Joel","669270","96.2","96",,"86.8","90.2",,,,,
"Phillips, Evan","623465","96.1","96.2","93.3",,,,,,"85.3",
"Clase, Emmanuel","661403","100",,"99.5","91.9",,,,,,
"Houck, Tanner","656557","95.2","94.5",,"85.4",,,"87.6",,,
"Stephenson, Robert","596112","96.8",,,"83.9",,"77.5","88.1",,,
"Davidson, Tucker","656353","93.1","93.1",,"86.6","85.4","78.1","85.2",,,
"Bush, Matt","456713","97.3","96","92.9",,,"81",,,,
"Pérez, Cionel","672335","97","96.5",,"84",,"82.6",,,,
"Chafin, Andrew","605177","91.6","91.6",,"82.9","84.7",,,,,
"Festa, Matt","670036","92.6","92.5",,,,,,,"82.9",
"Banks, Tanner","621383","92.9",,,"86.7","84.9","82.1",,,,
"Stanek, Ryne","592773","98.3",,,"87.1",,,"88.6",,,
"Rucker, Michael","621074","94.7",,"88.4","86.1","90","80.6",,,,
"Tepera, Ryan","572193","92.6","92.9",,"86","85.8","81.5",,,"80",
"Mayers, Mike","594577","93.5","92.3","88.3","84.4","86.7","77.2",,,,
"Jackson, Zach","667427","94.4",,"94.2","85.2","88.9",,,,,
"Melancon, Mark","453343","91.7",,"90.9","84.1",,"81.7","83.7",,,
"García, Rony","665621","92.9","92.5",,,"87.5","80.3",,,,
"Alvarado, José","621237","97.8","99.6","93.8",,,"86.5",,,,
"Swanson, Erik","657024","93.6",,,"84.9",,,"83.5",,,
"Wilson, Steven","621051","95.1",,,"83.1","85.1",,,,"81.9",
"Elder, Bryce","693821","90.5","90.7",,"82.4","86",,,,,
"Kennedy, Ian","453178","93.4",,"85.9","81","87.6","79","85.5",,,
"Floro, Dylan","571670","92.4","92.6",,"84.1","85.2",,,,,
"Mantiply, Joe","573009","90.8","90.4",,,"82.6","81.1",,,,
"Clarke, Taylor","664199","95.6",,,"88.4","89",,,,,
"Marte, Yunior","628708","97.8","96.9",,"86","90.9",,,,,
"Martin, Chris","455119","95.2","94.6","91.6",,,"83.9","88.4",,"84.1",
"Ober, Bailey","641927","91.5",,,"82.9","84.3","76.7",,,,
"Matz, Steven","571927",,"94.5",,"89.6","85.1","78",,,,
"Hoffman, Jeff","656546","94.3",,,"81.2","87.6",,"88",,,
"Raley, Brooks","548384","90.3","90.7","88",,"85.5",,,,"81.4",
"De Los Santos, Enyel","660853","95.3",,,"83.1","87.3",,,,,
"Abbott, Cory","676265","91.3",,,"86.6",,"84.4",,,,
"Bednar, David","670280","96.4","95.2",,,,"77.1","89.8",,,
"Rodríguez, Joely","570257","92.7","92.7",,"83.8","87.8",,,,,
"Castillo, Diego","650895","95.7","95.1",,"88.4",,,,,,
"Sawamura, Hirokazu","617228","95.9",,,"85.8",,,"92",,,
"Farmer, Buck","571656","94.6",,,"83.3","88.7",,,,,
"Ramirez, Noé","598287","89.8",,,,"84.1","78",,,,
"Wantz, Andrew","681806","93.8",,"87.9",,"86.9",,,,"81.3",
"Leone, Dominic","608678","95.5","94.8","91.4","85.1",,,,,,
"Domínguez, Seranthony","622554","97.6","98.2","92.9","89.5","92",,,,,
"Familia, Jeurys","544727","95.4","95.2",,"88.6",,,"92.5",,,
"Lambert, Jimmy","669424","94.3",,,"84.4","85.4","76.8",,,,
"Hand, Brad","543272","92.6","92.4",,,,,,,"79.3",
"Peralta, Wandy","593974","95.4","95.4",,"87.6","88.6",,,,,
"Effross, Scott","664123","90.8","90.3",,"79.8","83",,,,,
"Pruitt, Austin","643493","91.4","90.6",,"87.5","86.2","80.9",,,,
"Garrett, Amir","607237","94.1","94",,"84.7",,,,,,
"Colomé, Alex","517008","94.5",,"90.8",,,,,,,
"Suarez, Robert","663158","97.9","97","94","85.7","89.3","80.3",,,,
"Gilbreath, Lucas","656458","93.8",,,"82.7",,,"85",,,
"Knebel, Corey","608349","95.6",,,"79.6",,"78.7",,,,
"Megill, Tylor","656731","95.7",,"87.4","85.2","89.1","80.1",,,,
"Chacín, Jhoulys","468504","92.6","92.9",,"87","85.4","79.8",,,,
"Leclerc, José","600917","96.5",,"89.2","83.3","89.7",,,,,
"Snead, Kirby","669912","93.5","93.3",,"82","87.6",,,,,
"Smith, Drew","622098","95.7","95.6",,"85.4","85.2","77.7",,,,
"Megill, Trevor","656730","98.1",,,"88.5",,"83.4",,,,
"Henry, Tommy","674072","91.6","91.3",,"85.7","84.7","80.6",,,,
"Foster, Matt","641582","93.7",,"92.6","85.8","83.9","79.6",,,,
"Bleier, Richard","542947","90.7","89.8","87.3","77.7","82.9",,"79.2",,,
"King, Michael","650633","96.4","95.5",,,"88.3",,,,"82.3",
