"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Hernández, Félix","433587","2151","2060",,"2317","1734","2441",,,,
"Brebbia, John","605154","2389",,,"2605","2174",,,,,
"Buttrey, Ty","621142","2233","2047",,"1867","1835",,,,,
"Suero, Wander","593833","2471",,"2554",,"2101","2829",,,,
"Andriese, Matt","542882","2337","2180",,"2460","2224","2671",,,,
"Law, Derek","571882","2132",,,"2245","2014","2045",,,,
"Shaw, Bryan","543766",,,"2396","2721","1549","2593",,,,
"Diekman, Jake","518617","2212","2095",,"2813","1609",,,,,
"Newcomb, Sean","656794","2240",,,"2841","1618","2874",,,,
"Valdez, Framber","664285","2228","2176",,,"1802","2960",,,,
"May, Trevor","543507","2347","2345",,"2556","1988","2527",,,,
"Detwiler, Ross","446321","2214","2098","2257","2177","1644","2145",,,,
"Ottavino, Adam","493603","2392","2388","2683",,,,,,"2877",
"Farmer, Buck","571656","2346",,,"2657","1800",,,,,
"Chen, Wei-Yin","612672","2138","2058",,"2291","1372","2299",,,,
"Rodríguez, Richard","593144","2506","2432",,"2421","1833",,,,,
"Agrazal, Dario","642607","2270","2233",,"2247","1786",,,,,
"González, Chi Chi","592346","2428","2302","2535","2632","1708",,,,,
"Devenski, Chris","606965","2369",,,"2298","1659",,,,,
"Biagini, Joe","607352","2032","2156","2243",,"1560","2821",,,,
"Robles, Hansel","570663","2431","2423",,"2406","1588",,,,,
"Hader, Josh","623352",,"2118",,"2626","1471",,,,,
"Ross, Joe","605452","2148","2095",,"1933","1690","2106",,,,
"Petit, Yusmeiro","433589","2232",,"2224",,"1887","2125",,,,
"Tomlin, Josh","458708","2188","2137","2608",,"1742","2805",,,,
"Gallegos, Giovanny","606149","2428",,,"2242","1943",,,,,
"Liriano, Francisco","434538","2069","2047",,"2289","1683",,,,,
"Armstrong, Shawn","542888","2521",,"2597","2863",,,,,,
"James, Josh","657624","2414",,,"2537","1870","2560",,,,
"Neris, Héctor","593576","2477","2373",,,,,"1519",,,
"Castillo, Diego","650895","2046","2123",,"2348",,,,,,
"Iglesias, Raisel","628452","2364","2428",,"2531","1872",,,,,
"Soto, Gregory","642397","2324","2345",,"2326","2034",,,,,
"Cishek, Steve","518553","2409","2372",,"2282","1975",,,,,
"Ramirez, Noé","598287","2243",,,,"2001","2742",,,,
"Hughes, Jared","453172","2141","1869",,"2107","1551","2053",,,,
"Anderson, Nick","623433","2326",,,,,"2094",,,,
"Soria, Joakim","465657","2301","2338",,"2711","1500","2751",,,,
"Kennedy, Ian","453178","2439",,"2208",,"2027","2687",,,,
"Givens, Mychal","571710","2383",,,"2476","2101",,,,,
"Báez, Pedro","520980","2328","2307",,"1740","1999",,,,,
"Gant, John","607231","2520","2466","2643",,"1509","2653",,,,
"Fry, Paul","643316","2404",,,"2737","1840",,,,,
"Guerra, Javy","457915","2089",,,"2101","1575","2289",,,,
"Pagán, Emilio","641941","2483",,"2351",,,"2544",,,,
"Doolittle, Sean","448281","2215",,,"2424",,,"2136",,,
"Gsellman, Robert","607229","2200","2208",,"2429","1748","2748",,,,
"Díaz, Edwin","621242","2371","2349",,"2367",,,,,,
"Melancon, Mark","453343","2341",,"2349",,,"2702","1801",,,
"Conley, Adam","543045","2330",,,"2112","2033","2208",,,,
"Jiménez, Joe","641729","2528",,,"2329","2091",,,,,
"Fry, Jace","605240","2446","2335","2609",,"1624","2412",,,,
"Weaver, Luke","596133","2308","2455","2222","2146","1572","2217",,,,
"Osich, Josh","592612","2367","2359","2269","2288","1686",,,,,
"Ryan, Kyle","594986","2070","1982","2187",,"1773","2424",,,,
"Jansen, Kenley","445276",,"2333","2556","2387",,,,,,
"Mengden, Daniel","596043","2217","2086","2178","2342","1945","2526",,,,
"García, Luis","472610","2098","2071",,"2315",,,"1057",,,
"Smith, Will","519293","2219",,,"2333","1837","2022",,,,
"Familia, Jeurys","544727","2211","2180",,"2245",,,"1754",,,
"Perdomo, Luis","606131","1977","1891",,"2295",,,"1569",,,
"Rogers, Taylor","573124","2222","2074",,,,"2600",,,"2512",
"Bummer, Aaron","607481","2091","2033","2228","2226","1636",,,,"2244",
"Moronta, Reyes","606625","2385",,,"2577","2081",,,,,
"Bettis, Chad","518452","2037","2023","2292",,"1370","2539",,,,
"Kingham, Nick","592468","2311","2165","2281","2355","2045","2373",,,,
"Kahnle, Tommy","592454","2285",,,"2466","1483",,,,,
"Martin, Brett","656685","2348","2272",,"2276",,"2256",,,,
"Yates, Kirby","489446","2307",,,"2265",,,"1399",,,
"Parker, Blake","453284","2140",,"2181",,,"2170","1045",,,
"Covey, Dylan","592229","2120","2072","2156",,"1611","2447","1303",,,
"Brewer, Colten","605155","2268","2158","2369","2575","1894","2825",,,,
"Feliz, Michael","593140","2311",,,"2374","1950",,,,,
"Bedrosian, Cam","592135","2377",,,"2630",,,"1791",,,
"Albers, Matt","458006","2139","2036",,"2405","1530",,,,,
"Stephenson, Robert","596112","2434",,,"2799",,,"1644",,,
"Treinen, Blake","595014","2415","2250","2490","2609",,,,,,
"García, Yimi","554340","2593","2507",,"2663","1946","2801",,,,
"Brach, Brad","542960","2210","2117","2390","2509","1870",,,,,
"Romo, Sergio","489265","2305","2168",,"2830","2151",,,,,
"Chapman, Aroldis","547973","2486","2536",,"2491","1695",,,,,
"Alvarez, Jose","501625","2392","2347","2374","2354","1921","2395",,,,
"Velázquez, Hector","584171","2175","2052",,"2120","1478","2162",,,,
"Duffey, Tyler","608648","2305","2430",,,"1798","2521",,,,
"Brasier, Ryan","518489","2359","2320",,"2481","1566",,,,,
"Colomé, Alex","517008","2127",,"2149",,"2138",,,,,
"Eickhoff, Jerad","595191","2415","2391",,"2564",,"2744",,,,
"Rondón, Héctor","444468","2085","2036",,"2348","1814",,,,,
"Claudio, Alex","592222","2056","1984",,"2238","2177","2099",,,,
"Swanson, Erik","657024","2275",,,"2221","1628",,,,,
"Wittgren, Nick","621295","2189",,,"2450","1891","2211",,,,
"Hill, Rich","448179","2474","2412","2646",,"1681","2906",,,"2823",
"Straily, Dan","573185","2365","2208",,"2643","1669","2729",,,,
"Buchholz, Clay","453329","2148","2120","2273",,"1538","2707",,,,
"Miller, Andrew","453192","2085","1994",,"2598","2732",,,,,
"Erlin, Robbie","572362","2376","2242",,"2491","1546","2598",,,,
"Margevicius, Nick","676606","2159",,,"1960","1816","1939",,,,
"Vázquez, Felipe","553878","2622","2470",,"2746","2021","2784",,,,
"Trivino, Lou","642152","2111","2146","2434",,"1765","2505",,,,
"Garrett, Amir","607237","2117","2065",,"1832",,,,,,
"Greene, Shane","572888","2295","2173","2473",,"1714",,,,"2593",
"Hand, Brad","543272","2420","2299",,,,,,,"2474",
"Bañuelos, Manny","544365","2132","1899",,"2263","1663","2596",,,,
"Osuna, Roberto","532077","2489","2356","2502","2495","1875","2565",,,,
"VerHagen, Drew","572403","2318","2239",,"2279","2127","2414",,,,
"Harvey, Matt","518774","2171","2170",,"2413","1774","2516",,,,
"Swarzak, Anthony","461872","2284","2117",,"2449",,,,,,
"Drake, Oliver","543118","2146",,"2176",,,,"1089",,,
"Wisler, Matt","605538","2160","2174",,"2478",,"2651",,,,
"Hirano, Yoshihisa","673633","2199",,,"2138",,,"1271",,,
"Britton, Zack","502154",,"1999",,"2562",,,,,,
"Crick, Kyle","605195","2368","2274",,"3246","2193",,,,,
"Clippard, Tyler","461325","2363","2253",,"1634","2042","2178","1138",,,
"Roe, Chaz","475054","2479","2434","2699",,,"2646",,,"2954",
"Mayza, Tim","641835","2114","2144",,"2186",,,,,,
"Alexander, Tyler","641302","2257","2227",,"2441","1584","2427",,,,
"Gott, Trevor","641627","2155","2048",,"2314","1333","2099",,,,
"Harris, Will","501789","2520",,"2527",,,"2775",,,,
"Cole, Taylor","518566","2282",,"2271","2395","1956","2535",,,,
"Herrera, Kelvin","516969","2229","2192","2289","2676","1781",,,,,
"Wingenter, Trey","622259","2151",,,"2180",,,,,,
"Gearrin, Cory","518715","2311","2276",,"2826","2225",,,,,
"Glasnow, Tyler","607192","2279",,,,"1774","2907",,,,
"McCarthy, Kevin","641838","2020","1990",,"2199","1813","2121",,,,
"Guerrero, Tayron","594027","2178","2153",,"1954",,,,,,
"Rainey, Tanner","663432","2420",,,"2499","1567",,,,,
"Oberg, Scott","623184","2225","2261",,"2537","1952",,,,,
"Anderson, Justin","605121","2284","2279",,"2260","1830",,,,,
"McFarland, T.J.","519008","1859","1915",,"2252","1731",,,,,
"Chafin, Andrew","605177","2193","2178",,"2361",,,,,,
"Díaz, Jairo","545064","2202","2140",,"2413",,,,,,
"Burnes, Corbin","669203","2656","2688","2928","2850","1854","2853",,,,
"Magill, Matt","543483","2334",,"2388","2501","2361","2550",,,,
"Webb, Tyler","643778","2197","2145",,,"1768","2283",,,,
"Kelly, Joe","523260","2155","2121",,,"2073","3103",,,,
"McKay, Brendan","656713","2231",,"2152",,"1668","2032",,,,
"Holmes, Clay","605280","2121","2013",,"2424","1504","2684",,,,
"Poche, Colin","621363","2291",,,"2493",,,"1261",,,
"Kinley, Tyler","641755","2272",,,"2539",,,,,,
"López, Yoan","661255","2195",,,"2411","1457",,,,,
"Martin, Chris","455119","2294","2279","2256","2298",,,"1663",,"2324",
"Miller, Shelby","571946","2329","2309","2188",,"1870","2325",,,,
"Civale, Aaron","650644","2415","2268","2612","2831","2089","2930",,,,
"Ponce de Leon, Daniel","594965","2335",,"2473","2426","2221","2728",,,,
"Jeffress, Jeremy","502026","2185","2016",,,,"2385","1681",,,
"Kintzler, Brandon","445213","2021","2018",,"2297","2130",,,,,
"Harper, Ryne","607560","1821",,"1757",,"1076","2333",,,,
"Rodney, Fernando","407845","2192","2039",,"2254","1752",,,,,
"Dyson, Sam","473879","2337","2251","2588","3270","1986",,,,,
"Davis, Wade","451584","2415","2382","2722",,"2357","2582",,,,
"Allard, Kolby","663465","2109",,"2151",,"1652","1884",,,,
"Taylor, Josh","657031","2292","2260",,"2348","2109","2277",,,,
"Marshall, Evan","605359","2469","2289",,,"1717","2734",,,,
"Nicasio, Juan","504379","2075","2013",,"1934","1918",,,,,
"Ferguson, Caleb","657571","2311",,,,"1917","3023",,,,
"Kittredge, Andrew","552640","2351","2290",,"2744","1114",,,,,
"Watson, Tony","453265","2347","2328",,"2367","2380",,,,,
"Giles, Ken","571704","2323","2330",,"2245",,,,,,
"Elías, Roenis","606273","2479","2478",,,"2116","2686",,,,
"Pressly, Ryan","519151","2571",,,"2740",,"3305",,,,
"Cimber, Adam","643256","2166","2133",,"2153",,,,,,
"Kolarek, Adam","592473","2211","2151","1329","1979","2173",,,,,
"Bard, Luke","572703","2746","2755",,"2891","1823",,,,,
"Rodriguez, Jefry","622446","2370","2246",,,"1739","2412",,,,
"Buchter, Ryan","488748","2274",,"2247",,,"2087",,,,
"Brice, Austin","592169","2351","2056",,,"1809","2903",,,,
"Martinez, Carlos","593372","2125","2004","2293","2144","1891",,,,,
"Toussaint, Touki","657053","2226","2202",,,,"2470","1465",,,
"Hernandez, David","456696","2367","2275","2400",,"2281","2341",,,,
"Johnson, Brian","598271","2297","2336",,"2574","1954","2697",,,,
"Yacabonis, Jimmy","642231","2350","2272",,"2565","1677",,,,,
"Kelley, Shawn","518875","2396",,,"2431","2488",,,,,
"Suárez, Ranger","624133","2029","1955",,"2122","1616",,,,,
"Bleier, Richard","542947","1909","1943","1949","1970","1590",,,,,
"García, Jarlín","606424","2264",,,"2380","2306",,,,,
"Keller, Mitch","656605","2473",,"2661",,"1705","2770",,,,
"Ruiz, José","614179","2349",,,"2261","1870","2043",,,,
"Wood, Hunter","621056","2492",,,"2555","1703","2328",,,,
"Sims, Lucas","608371","2641","2619",,"3004","1923","3120",,,,
"Vincent, Nick","543883","2351","2166","2417","2560","1849",,,,,
"Smeltzer, Devin","656970","2433",,"2421",,"1794","2736",,,,
"Shafer, Justin","596101","2460","2220","2530","2474",,,,,,
"Floro, Dylan","571670","2292","2233",,"2156","2124",,,,,
"Richard, Clayton","453385","2284","2185",,"2219","1581",,,,,
"Strop, Pedro","467008","2374","2361","2344","2429",,,"1758",,,
"García, Edgar","658305","2305","2274",,"2357","1707",,,,,
"Pruitt, Austin","643493","2408","2412",,"2658","1873","2999",,,,
"Hembree, Heath","592390","2456",,,"2624",,"2760",,,,
"Morin, Mike","573046","2136","1999",,"2118","1461",,,,,
"Sandoval, Patrick","663776","1970",,,"2444","1662","2739",,,,
"Bass, Anthony","542914","2057","2047",,"2294",,,"1229",,,
"Santiago, Héctor","502327","2117","2078",,"2051","2054","2003",,,,
"Brennan, Brandon","592165","2303","2228",,"2097","1670",,,,,
"Goody, Nick","580792","2229",,,"2390",,,,,,
"Kline, Branden","571858","2174",,,"2296","1536",,,,,
"Barraclough, Kyle","607457","2362",,,"2403","1400","2412",,,,
"Grace, Matt","594840",,"1818","1882","2001","1577",,,,,
"Sadler, Casey","594987","2449","2341","2600",,"1762","2911",,,,
"Rodón, Carlos","607074","2154","2226",,"2452","1714",,,,,
"Holder, Jonathan","656547","2335",,"2444","2779","1848",,,,,
"Gonsolin, Tony","664062","2456",,,"2553",,"2657","1998",,,
"Urquidy, José","664353","2305",,,"2537","2157","2594",,,"2587",
"Wilson, Justin","458677","2374",,"2459","2566",,,,,,
"Brigham, Jeff","656257","2428",,,,,,,,"2991",
"Hardy, Blaine","543278","2235","2173","2357",,"1982","1952",,,,
"Alcántara, Victor","622505",,"2085",,"2024","1710",,,,,
"Carpenter, Ryan","543001","2178","2103",,"2689","1864","2769",,,,
"Voth, Austin","608723","2201",,,"2503","1978","2827",,,,
"Hernández, Darwinzon","650382","2354","2444",,"2625",,"2588",,,,
"Webb, Logan","657277","2239","2058",,,"1576",,,,"2718",
"Duplantier, Jon","641541","2198","2129",,"2213","1628","2385",,,,
"Hellickson, Jeremy","476451","2126","2118","2426",,"1861","2845",,,,
"Weber, Ryan","543901","2121","2092","2246","2347","1816","2480",,,,
"Sheffield, Justus","656954","1835",,,"2475","1730","2404",,,,
"Peralta, Wily","503449","1872","1832",,"2203","1585","2095",,,,
"Springs, Jeffrey","605488","2206","2090",,"2163","1489",,,,,
"Leone, Dominic","608678","2279","2230","2485","2479","1757",,,,,
"Barnes, Jacob","606930","2451",,"2369","2165",,,,,,
"Pérez, Oliver","424144","2192","2161",,"2279",,,,,,
